id,product_type,keywords,recommended_pattern,style_priority,color_mood,typography_mood,key_effects,anti_patterns
1,SaaS,"saas, software, platform, tool, app",Feature-Rich Showcase,Minimalism & Swiss Style; Soft UI Evolution; Bento Box Grid,Trust; professional; modern,Clean; modern; versatile,Subtle shadows; smooth transitions 200-300ms; gentle hover states,Bright neon colors; harsh animations; complex textures
2,Micro SaaS,"micro saas, niche tool, single feature",Minimal & Direct,Minimalism & Swiss Style; Flat Design,Professional; clean; focused,Clean; modern; professional,Micro-interactions; clean animations,Over-designed; too many features shown; complex layouts
3,B2B Enterprise,"b2b, enterprise, corporate, business",Trust & Authority,Minimalism & Swiss Style; Swiss Modernism 2.0,Corporate; reliable; trustworthy,Professional; clean; authoritative,Subtle animations; professional transitions,Playful elements; bright colors; casual typography
4,Developer Tools,"developer, api, sdk, cli, devtools",Feature-Rich Showcase,Dark Mode OLED; Minimalism & Swiss Style,Tech; modern; professional,Techy; modern; geometric,Code syntax highlighting; terminal-style elements,Overly colorful; unprofessional imagery; cluttered layouts
5,AI/Chatbot Platform,"ai, chatbot, gpt, assistant, copilot",Interactive Product Demo,AI-Native UI; Glassmorphism; Dark Mode OLED,Futuristic; innovative; intelligent,Futuristic; clean; tech,Typing indicators; smooth message transitions; glow effects,Static demos; outdated UI patterns; generic stock images
6,Fintech/Banking,"fintech, banking, finance, payment, money",Trust & Authority,Glassmorphism; Minimalism & Swiss Style,Secure; reliable; trustworthy,Clean; professional; trustworthy,Subtle depth; secure feel transitions,AI purple/pink gradients; playful animations; unprofessional elements
7,Healthcare,"healthcare, medical, health, clinic, hospital",Trust & Authority,Accessible & Ethical; Minimalism & Swiss Style; Soft UI Evolution,Calm; trustworthy; clean,Clean; readable; professional,Calming transitions; accessible focus states,Dark themes; aggressive colors; complex animations
8,E-commerce,"ecommerce, shop, store, marketplace, retail",Hero-Centric + Social Proof,Vibrant & Block-based; Minimalism & Swiss Style,Energetic; exciting; conversion,Friendly; modern; approachable,Product zoom; cart animations; urgency indicators,Cluttered layouts; slow animations; poor mobile experience
9,Beauty/Spa,"beauty, spa, wellness, skincare, cosmetics",Hero-Centric + Social Proof,Soft UI Evolution; Organic Biophilic,Calming; luxurious; premium,Elegant; calming; sophisticated,Soft shadows; smooth transitions 200-300ms; gentle hover states,Bright neon colors; harsh animations; dark mode; AI purple/pink gradients
10,Restaurant,"restaurant, food, dining, cafe, bistro",Hero-Centric + Social Proof,Vibrant & Block-based; Editorial Grid,Appetizing; warm; inviting,Warm; friendly; appetizing,Food photography focus; menu animations,Cold colors; clinical feel; poor food imagery
11,Real Estate,"real estate, property, housing, apartment",Feature-Rich Showcase,Minimalism & Swiss Style; Glassmorphism,Professional; stable; trustworthy,Professional; clean; modern,Map integrations; property gallery; virtual tours,Cluttered listings; poor photography; outdated designs
12,Education,"education, learning, course, school, university",Feature-Rich Showcase,Claymorphism; Flat Design; Accessible & Ethical,Approachable; engaging; growth,Friendly; readable; engaging,Progress indicators; achievement animations,Complex navigation; overwhelming content; poor accessibility
13,Gaming,"gaming, game, esports, entertainment",Interactive Product Demo,Cyberpunk UI; Dark Mode OLED; 3D & Hyperrealism,Exciting; immersive; dynamic,Bold; futuristic; dynamic,Particle effects; dynamic backgrounds; hover glows,Corporate feel; static designs; muted colors
14,Legal/Professional,"legal, lawyer, attorney, law firm, consulting",Trust & Authority,Minimalism & Swiss Style; Swiss Modernism 2.0,Authoritative; trustworthy; elegant,Classic; readable; professional,Subtle animations; professional transitions,Playful elements; bright colors; casual imagery
15,Startup,"startup, mvp, innovation, disrupt",Hero-Centric + Social Proof,Neubrutalism; Vibrant & Block-based; Flat Design,Innovative; energetic; bold,Modern; bold; expressive,Bold CTAs; scroll animations; testimonial carousels,Conservative designs; corporate feel; complex navigation
16,Creative Agency,"agency, creative, design, studio, portfolio",Storytelling-Driven,Motion-Driven; Neubrutalism; 3D & Hyperrealism,Bold; creative; expressive,Expressive; modern; characterful,Parallax scrolling; creative transitions; cursor interactions,Generic templates; stock imagery; boring layouts
17,Portfolio,"portfolio, personal, freelance, designer",Storytelling-Driven,Motion-Driven; Minimalism & Swiss Style,Personal; creative; professional,Modern; clean; distinctive,Project showcases; smooth page transitions,Cookie-cutter designs; poor project presentation
18,Mental Health,"mental health, therapy, counseling, wellness",Trust & Authority,Soft UI Evolution; Accessible & Ethical,Soothing; supportive; safe,Calm; readable; supportive,Calming animations; breathing exercises UI,Clinical feel; harsh colors; anxiety-inducing elements
19,Fitness,"fitness, gym, workout, training, sports",Hero-Centric + Social Proof,Vibrant & Block-based; Dark Mode OLED,Energetic; motivating; powerful,Bold; energetic; dynamic,Progress tracking animations; motivational transitions,Weak colors; static designs; poor action imagery
20,Travel,"travel, tourism, booking, vacation, adventure",Hero-Centric + Social Proof,Glassmorphism; Vibrant & Block-based,Adventurous; inspiring; exciting,Friendly; adventurous; modern,Destination galleries; booking flow animations,Poor imagery; complex booking flows; cluttered layouts
