id,heading_font,body_font,mood,best_for,google_fonts_url
1,Inter,Inter,Clean; modern; versatile,SaaS; dashboards; apps,https://fonts.google.com/share?selection.family=Inter
2,Poppins,Open Sans,Friendly; geometric; approachable,Startups; education; mobile apps,https://fonts.google.com/share?selection.family=Poppins|Open+Sans
3,Playfair Display,Source Sans Pro,Elegant; editorial; sophisticated,Luxury; editorial; fashion,https://fonts.google.com/share?selection.family=Playfair+Display|Source+Sans+Pro
4,Cormorant Garamond,Montserrat,Elegant; calming; sophisticated,Luxury brands; wellness; beauty; editorial,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Montserrat
5,Space Grotesk,DM Sans,Techy; modern; geometric,Tech products; crypto; SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
6,Outfit,Plus Jakarta Sans,Contemporary; clean; professional,Modern SaaS; fintech; professional services,https://fonts.google.com/share?selection.family=Outfit|Plus+Jakarta+Sans
7,Clash Display,Satoshi,Bold; modern; impactful,Creative agencies; portfolios; startups,https://fonts.google.com/share?selection.family=Clash+Display
8,Cabinet Grotesk,General Sans,Geometric; versatile; balanced,Enterprise; dashboards; apps,https://fonts.google.com/share?selection.family=Cabinet+Grotesk
9,Fraunces,Work Sans,Quirky; warm; distinctive,Food; lifestyle; editorial,https://fonts.google.com/share?selection.family=Fraunces|Work+Sans
10,Bricolage Grotesque,Figtree,Expressive; modern; characterful,Creative; marketing; branding,https://fonts.google.com/share?selection.family=Bricolage+Grotesque|Figtree
11,Sora,Nunito Sans,Futuristic; clean; tech,AI products; tech; innovation,https://fonts.google.com/share?selection.family=Sora|Nunito+Sans
12,Libre Baskerville,Lato,Classic; readable; trustworthy,Legal; finance; editorial,https://fonts.google.com/share?selection.family=Libre+Baskerville|Lato
13,Rubik,Roboto,Rounded; friendly; modern,Mobile apps; consumer products,https://fonts.google.com/share?selection.family=Rubik|Roboto
14,Manrope,Inter,Geometric; clean; professional,SaaS; enterprise; professional,https://fonts.google.com/share?selection.family=Manrope|Inter
15,Epilogue,Public Sans,Modern; neutral; government-grade,Government; healthcare; public services,https://fonts.google.com/share?selection.family=Epilogue|Public+Sans
